artista,biografia,Oyentes,N_Reproducciones,artistas_similares
Leo Ku,"Leo Ku Kui-Kei (Chinese: 古巨基; pinyin: Gǔ Jùjī; born 18 August 1972) is a Hong Kong Cantopop singer and actor. He was an entertainment news programme (娛樂新聞眼) presenter at TVB as well as host of the music show ""Jade Solid Gold"" in 1992 before releasing his first album (愛的解釋) in 1994 to become a Cantopop singer. He is one of the few Cantopop artists who employ the use of falsetto (假音). Because of this, many people, including David Tao, have praised this unique talent. <a href=""https://www.last.fm/music/+noredirect/Leo+Ku"">Read more on Last.fm</a>",19365,387734,[]
Faintest Idea,"Playing anywhere and everywhere from squats to bars to festival main stages and drawing inspiration from bands such as The Specials, The Filaments & Operation Ivy this is angry political commentary that you can shout along to while stomping your feet.
Faintest Idea take the bouncing beat of 2 Tone Ska and smash it over the head with fast, angry UK Punk. Hailing from the East Anglian region of Britain the rabble rousing political lyrics are shouted over layers of catchy brass lines and heavy boot stomping beats. <a href=""https://www.last.fm/music/Faintest+Idea"">Read more on Last.fm</a>",7047,146729,"['Popes of Chillitown', 'Tyrannosaurus Alan', 'JOYstick!', 'The Bar Stool Preachers', 'Beat the Red Light']"
Turnstile,"Turnstile is a rock band that formed in Baltimore, Maryland in 2014. The band currently consists of Brendan Yates (vocals), Daniel Fang (drums), Franz Lyons (bass), Pat McCrory (guitar), and Meg Mills (guitar). Former members include Sean Cullen (guitar) and Brady Ebert (guitar). The band has released four studio albums: ""Nonstop Feeling"" (2015), ""Time & Space"" (2018), ""Glow On"" (2021), and ""Never Enough"" (2025). 

Turnstile is heavily influenced by NYHC bands such as Madball and Breakdown <a href=""https://www.last.fm/music/Turnstile"">Read more on Last.fm</a>",840398,53576172,"['Turnstile & Blood Orange', 'Turnstile, Blood Orange', 'Angel Du$t', 'Scowl', 'Trapped Under Ice']"
The Dead Bolts," <a href=""https://www.last.fm/music/The+Dead+Bolts"">Read more on Last.fm</a>",23321,66960,"[""Kahil El'Zabar"", 'Jackie Hayes', 'Serengeti', 'Neal Francis', 'My Darkest Days']"
zavet,"zavet (ныне известный, как Kai Angel) — русскоязычный рэп-исполнитель, битмейкер, звукорежиссёр. Стал известен благодаря самобытному звучанию, ломанной ритмике исполнения и необыкновенному инструменталу) <a href=""https://www.last.fm/music/zavet"">Read more on Last.fm</a>",28889,1058905,"['Kai Angel', '9mice', 'Saluki', 'Heronwater', 'i61']"
Summer Wars,"Pop punk/rock from Raleigh, North Carolina. <a href=""https://www.last.fm/music/Summer+Wars"">Read more on Last.fm</a>",22733,260320,"['You vs Yesterday', 'Hold Close', 'Rematch', 'Goalkeeper', 'Go for Gold']"
DJ Furax,"DJ Furax - real name Alexandre Schippers - is an artist known for his trance, hard and techno songs, most with heavy retro influences. He began experimenting with a mixer at around 15 - when new beat-hype was becoming popular in Belgium. His first appearances were as a resident DJ in several clubs.

5 years ago, Furax began producing tracks. His first hit was ""Big Orgus,"" which became the best sold vinyl of 2003 in France and remained on the Dutch and Belgian charts for over three months. <a href=""https://www.last.fm/music/DJ+Furax"">Read more on Last.fm</a>",29065,212737,"['DJ Coone', 'Binum', 'Chicago Zone', 'DJ Greg C', 'Lethal Mg']"
Panic! At The Disco,"Panic! at the Disco was an American pop rock band from Las Vegas, Nevada, formed in 2004 by childhood friends Ryan Ross, Spencer Smith, Brent Wilson, and Brendon Urie. Following several lineup changes, Panic! began operating as the solo project of frontman Urie from 2015 until the project's discontinuation in 2023.

Panic! at the Disco recorded their first demos while they were in high school. Shortly after, the band recorded and released their debut studio album, A Fever You Can't Sweat Out (2005). <a href=""https://www.last.fm/music/Panic%21+at+the+Disco"">Read more on Last.fm</a>",4265853,299927100,"['Fall Out Boy', 'The Young Veins', 'My Chemical Romance', 'Cobra Starship', 'The Academy Is...']"
Carly Cosgrove,"Sue Us, Dan Schneider.

Carly Cosgrove is a three-piece emo band from Philadelphia, Pennsylvania. 

Freddie - Lucas Naylor
Carly - Helen Barsz
Sam - Tyler Kramer

https://carlycosgrove.bandcamp.com

 <a href=""https://www.last.fm/music/+noredirect/Carly+Cosgrove"">Read more on Last.fm</a>",65403,2311286,[]
The Hotknives,"Ska legends The Hotknives were originally formed in 1982 in England by a group of friends interested in ska, dub, reggae and Northern Soul. They recorded two live albums, ""Live at the boatman"" and ""Live and Skanking"" before recording their first studio album, ""The Way Things Are"" in 1989. Having reached the top of the 3rd Wave ska scene and been banned from Radio in the UK, the band decided to call it a day in 1993. In 1994 the band reformed, this time with Marc Carew of Long Tall Texans fame and Richard ""Bosky"" Allen from Too Many Crooks . <a href=""https://www.last.fm/music/The+Hotknives"">Read more on Last.fm</a>",20720,221070,"['The Loafers', 'Special Beat', 'Mr. Review', 'bluekilla', 'Two Tone Club']"
Nitrogenetics,"Rick & Tim Rozema better known as Nitrogenetics living in the most southern part of The Netherlands called Limburg. Their career started just 4 fun making music on their pc. The begin of all was to send some tracks to Morphcore. After join Morphcore for about half year, they wanted to send a demo to Hardcore Blasters. This resulted into first Nitrogenetics release: Gods Unwanted Children was on DB chapter 4. The first solo e.p called Somniphobia from witch the track Shocking & Stunning was a great success, especially in Spain. <a href=""https://www.last.fm/music/Nitrogenetics"">Read more on Last.fm</a>",14666,213951,"['DJ D', 'Hellsystem', 'Placid K', 'The Wishmaster', 'D-Passion']"
Streetlight Manifesto,"Streetlight Manifesto is a post-third wave ska punk band from New Brunswick, New Jersey, under the creative leadership of singer/guitarist Tomas Kalnoky. Since forming in 2002, the band has released four full-length albums.

Several of Streetlight's members were already well known among the New Jersey ska community for their roles in past ska bands from that area, most notably Catch 22's Tomas Kalnoky, James Egan, Mike Soprano, and Josh Ansley, as well as One Cool Guy's Stuart Karmatz, Pete Sibilia, Dan Ross, and Chris Paszik.  <a href=""https://www.last.fm/music/Streetlight+Manifesto"">Read more on Last.fm</a>",500364,28400744,"['Catch 22', 'Bandits of the Acoustic Revolution', 'Mustard Plug', 'Reel Big Fish', 'Big D And The Kids Table']"
Tim Vantol,"Tim Vantol (born Tim Van Tol in Amsterdam on 8 March 1985) is a Dutch singer-songwriter currently based in Berchtesgaden, Germany. 

He released his debut album, ""Road Sweet Road"", in 2010. <a href=""https://www.last.fm/music/Tim+Vantol"">Read more on Last.fm</a>",20594,532998,"['Northcote', 'John Allen', 'Sam Russo', 'Jared Hart', 'Chris Wollard & The Ship Thieves']"
Jermaine Niffer,"Jermaine Niffer rapper en geboren Amsterdammer. De rapper was op jonge leeftijd al geïnteresseerd in Hip-Hop. Hij keek op naar artiesten als 2Pac, LL Cool J , Skee lo, Busta Rhymes en vele anderen, die hem vervolgens inspireerden om ook muziek te maken.

In zijn muziek is hij te onderscheiden door zijn unieke stemgeluid, waarmee hij de luisteraars meeneemt in zijn wereld. Zijn EP ‘Veel Vuur Veel Stroom’, in samenwerking met DJ D-Train en werd door het publiek goed ontvangen. <a href=""https://www.last.fm/music/Jermaine+Niffer"">Read more on Last.fm</a>",8795,94214,"['Equalz', 'Architrackz', 'Vic9', 'zefanio', 'Valsbezig']"
The Paradox,"The Paradox is an American pop-punk band from Atlanta, Georgia. <a href=""https://www.last.fm/music/The+Paradox"">Read more on Last.fm</a>",58254,621066,"['State Champs', 'All Time Low', 'The Starting Line', '408', 'Millington']"
Manifest Destiny,"1. Manifest Destiny is a crushing thrash metal band from Stillwater, Oklahoma, US formed in 1989. The pure thrash delivered from this band comes from the 4 maniacs:

Russ ''The Devil'' Pace - Vocals
Tim Harris - Guitars
Keith Wiley - Bass 
Jody Wheatley - Drums

The band has released 3 full-lengths:
All Life, All minds (1996)
What you fear (1997)
Within (2001)

2. California's Punk band Manifest Destiny. Another great Mystic Records band.
The band <a href=""https://www.last.fm/music/Manifest+Destiny"">Read more on Last.fm</a>",10720,151004,"['Deluzion', 'Hatred', 'Death Punch', 'Disarray', 'Toxin']"
Laura Jane Grace,"Laura Jane Grace is the lead singer and guitarist of Gainesville, Florida punk band Against Me!, as well as a solo artist. She was born November 8, 1980 on an Army base in Georgia and traveled around the world, following her father's military assignments. She started Against Me! at age 17 after dropping out of high school. 

On October 28, 2008, she released her solo debut, a 7-song EP entitled Heart Burns. <a href=""https://www.last.fm/music/Laura+Jane+Grace"">Read more on Last.fm</a>",60934,1364424,"['Against Me!', 'She/Her/Hers', 'Worriers', 'Defiance, Ohio', 'Apes of the State']"
Rotterdam Terror Corps,"Rotterdam Terror Corps, often abbreviated RTC, is a Dutch gabber act formed in 1993. Originally formed by five Dutch DJs (DJ Distortion, MC Raw, DJ Reanimator, DJ Petrov, and DJ Rob), currently there is only one of the original DJs left, DJ Distortion. DJ Petrov and DJ Rob left to pursue individual work. Reanimator (Patrick Moerland) produced the first album and left twice, the second time in 1995 permanently after an argument with DJ Distortion. In 2002 MC Raw was replaced by Cyriel Brandon <a href=""https://www.last.fm/music/Rotterdam+Terror+Corps"">Read more on Last.fm</a>",41845,591368,"['Bodylotion', 'Neophyte', 'Painbringer', '3 Steps Ahead', 'Angerfist']"
Vallanzaska," <a href=""https://www.last.fm/music/Vallanzaska"">Read more on Last.fm</a>",16091,215367,"['Matrioska', 'Punkreas', 'Shandon', 'Persiana Jones', 'Statuto']"
YUNGBLUD,"Dominic Richard Harrison (born 5 August 1997), known professionally as YUNGBLUD (pronounced ""Youngblood""), is an English singer, musician and songwriter. In 2018, he released his first EP, YUNGBLUD, followed shortly after by the album 21st Century Liability.  In 2019, he released another EP, The Underrated Youth. His second album, Weird!, was released in late 2020 and peaked at the top of UK Albums Chart and reached number 75 on US Billboard 200. <a href=""https://www.last.fm/music/YUNGBLUD"">Read more on Last.fm</a>",1112103,41528661,"['Palaye Royale', 'Hot Milk', 'Nothing But Thieves', 'Andy Black', 'Imagine Dragons']"
Angernoizer,"Angernoizer, real name Michael van Ravenstein, is a Hardcore DJ from the Netherlands.

A well-known established Uptempo Pioneer and in the game since the early 2000, destroying stage after stage every weekend with his unique and powerful hardcore sound taking Uptempo to the next level. 
He made a huge name for himself signing with the mighty Neophyte Records / Smash, worked with names like Angerfist, Partyraiser and Dr. Peacock and got his first album released in 2018 named ""Ready For War"" which became a huge success. <a href=""https://www.last.fm/music/Angernoizer"">Read more on Last.fm</a>",17961,164467,"['Scarphase', 'Sjammienators', 'Chaotic Hostility', 'Hyrule War', 'Frenchfaces']"
Gezellige Uptempo,"Gezellige Uptempo is a uptempo act that brings a poop-themed performance that combines uptempo hardcore, fast mixing, and interactive crowd engagement. Debuting in 2023 at they quickly gained momentum, entertaining audiences around the Netherlands. The term ""Gezellig"" encapsulates the convivial and fun atmosphere they aim to create, making every show a lively and memorable ""Gezelligheid"" experience for the audience. <a href=""https://www.last.fm/music/Gezellige+Uptempo"">Read more on Last.fm</a>",6103,68278,"['Noxiouz', 'HET POMPSTATION', 'Opgekonkerd', 'Unlocked', 'Satirized']"
Endless Heights,"Endless Heights are an Australian melodic hardcore band from Sydney, New South Wales. The band currently consists of vocalist Joel Martorana, bassist Matt Jones, guitarist/vocalist Jiem Sow, drummer Julian Diaz and guitarist Christian Hrdina. The band formed in 2009, after changing their name from Your Ghost is a Gift. Their debut release under the Endless Heights name was an EP, Prologue, which was released in June 2010. In 2011, they released an EP entitled Dream Strong. <a href=""https://www.last.fm/music/Endless+Heights"">Read more on Last.fm</a>",41994,537718,"['Sleep Talk', 'Perspectives', 'Break Even', 'Whatever, Forever', 'Hindsight']"
Circle J,"Circle J is a folk rock/punk band from Utrecht, The Netherlands.

In November 2007 they released their first full-length Cd called 'Fat Man's Chest'.

""Circle J can give both Flogging Molly and Dropkick Murphys a run for their money in the Celt/Folk Punk Rock arena!""
www.paddyrock.com - review 'Fat Man's Chest'

""The best punkrock album that's been released in a long, long time.""
www.oor.nl - review 'Fat Man's Chest'  <a href=""https://www.last.fm/music/Circle+J"">Read more on Last.fm</a>",4577,43439,"['The Mighty Regis', 'The Black Tartan Clan', 'Kilmaine Saints', 'Bastards on Parade', 'Charm City Saints']"
Dougal,"DJ Dougal (real name Paul Clarke) is a happy hardcore artist. His style is a mix of euphoric hardcore with uplifting vocals. He has worked alongside many other hardcore artists including Gammer and Hixxy. Most of his work, however, has been with Gammer as his name is almost always seen as Dougal & Gammer. Several years ago, he created the successful label Essential Platinum with DJ Hixxy. His label has had many releases, and has been voted the best several years in a row. An extensive amount of his work has been featured in the Bonkers series. <a href=""https://www.last.fm/music/Dougal"">Read more on Last.fm</a>",28048,200288,"['Mark Breeze', 'Tweekacore', 'Joey Riot', 'Petruccio', 'Squad-E']"
Furyan,"Furyan started spinning hard dance and hardcore records at the age of 18 by the name of Charly S, and his great technical skills quickly gained him a residency in one of Rotterdam’s biggest clubs, Hollywood Music Hall. His excellent taste for music and feeling with his crowd made him one of the most popular youngster dj’s in the Rotterdam area, giving him the opportunity to play big events such as Hard Bass and back2school. 

In 2009 he decided to focus completely on his biggest passion: hardcore. <a href=""https://www.last.fm/music/Furyan"">Read more on Last.fm</a>",41825,466963,"['Broken Minds', 'Miss K8', 'Dither', 'Deadly Guns', 'Angerfist']"
Bad Waitress,"Bad Waitress is a four-piece punkrock band from Toronto, ON. Starting their musical adventures as The Nude Dogs, Bad Waitress got  signed to Royal Mountain Records in 2018 and haven't stopped since. They incorporate heavy licks, intense energy, and strong satire. They put out their first EP as Bad Waitress called ""Party bangers: Volume 1"" on 4.20 of 2018 and are currently waiting on the release of their first full length. As a collective they strive to create an empowering <a href=""https://www.last.fm/music/Bad+Waitress"">Read more on Last.fm</a>",49833,389517,"['VIAL', 'Gully Boys', 'Be Your Own Pet', 'Thick', 'Slutever']"
Dangers,"Dangers is a hardcore band from Los Angeles, California. The band was formed in 2005, releasing a self-titled EP the same year. The following year, they released their debut full-length album Anger on Dangers Records. In 2010, they released their second album Messy, Isn't It? on Vitriol Records. In 2011, they appeared at Fluff Fest in the Czech Republic for the first time, returning in 2013 and 2015. In 2014, Dangers released their second EP Five O'clock Shadows at the Edge of the Western World  on Secret Voice. <a href=""https://www.last.fm/music/Dangers"">Read more on Last.fm</a>",58698,2947649,"['Comadre', 'Ceremony', 'Have Heart', 'Blacklisted', 'The Suicide File']"
Sex Pistols,"Sex Pistols were a punk rock band that formed in London, United Kingdom in 1975. They are, together with The Clash and  The Damned, responsible for initiating the punk movement in the United Kingdom and inspiring many later punk and alternative rock musicians. Although their initial career lasted just two-and-a-half years and produced only four singles plus one studio album, Never Mind the Bollocks Here's the Sex Pistols, they are regarded as one of the most influential acts in the history of modern popular music. <a href=""https://www.last.fm/music/Sex+Pistols"">Read more on Last.fm</a>",1726837,33866086,"['The Clash', 'Sid Vicious', 'Ramones', 'Generation X', 'The Vibrators']"
PINKY SMASH," <a href=""https://www.last.fm/music/PINKY+SMASH"">Read more on Last.fm</a>",61245,861530,"['ilyhiryu', 'DJ Anemia', '$werve', 'HIMXN', '-Prey']"
brown eyed girl,"Van Morrison <a href=""https://www.last.fm/music/Brown+Eyed+Girl"">Read more on Last.fm</a>",59551,424740,"['CORTIS', 'Saja Boys', 'HUNTR/X', 'BLACKPINK', 'HUNTR/X, EJAE, AUDREY NUNA & REI AMI']"
Crypsis,"Representing the unrestrained sounds of Minus is More, Main MF’er Crypsis never ceases to make a statement with his ravaging beats. Dropping not one, but three monumental albums, Crypsis efficaciously represents the past, present and future of Raw Hardstyle.

Holding an enduring passion for crafting music with profound storylines, the Crypsis sound is covert, fascinating and a multi-sensory experience for all. Taking his rousing productions to the world’s biggest podiums <a href=""https://www.last.fm/music/Crypsis"">Read more on Last.fm</a>",30573,499359,"['Frontliner', 'Radical Redemption', 'Wildstylez', 'Noisecontrollers', 'The Pitcher']"
AJJ,"AJJ (formerly Andrew Jackson Jihad) are an American folk punk band from Phoenix, Arizona, formed in 2004.  Andrew Jackson Jihad was formed after its original drummer, Justin James White, approached Sean Bonnette and Ben Gallaty, who had just left Rodan (not the Rodan of Kentucky fame) and The Sub-Standards. Since then, many significant Arizona musicians have sat in with the remaining duo of Sean and Ben, including John De La Cruz of Fatigo and Asleep In The Sea's Owen Evans. Dylan Cook also plays mandolin regularly with the band. <a href=""https://www.last.fm/music/AJJ"">Read more on Last.fm</a>",437503,26465404,"['Pat The Bunny', 'Ramshackle Glory', 'Defiance, Ohio', 'Wingnut Dishwashers Union', 'The Taxpayers']"
Hyperverb," <a href=""https://www.last.fm/music/Hyperverb"">Read more on Last.fm</a>",16853,254387,"['Remzcore', 'Sefa', 'Major Conspiracy', 'Dr. Peacock', 'Crypton']"
Лампасы,"Elysium-family band from Russia.

Positive, cool rock.

Discography:

2006 - ""Лампаццирия"" (Lampacciriya)
2005 - ""Нам нужны моря и океаны"" (Nam nuzni morya i okeani) (We need seas and oceans)
2004 - ""Элизиум Family"" (Elysium family)
2008 - ""Молодые Хулиганы"" (Molodie huligani) (Young hooligans)
2009 - ""Марафон""

 <a href=""https://www.last.fm/music/+noredirect/%D0%9B%D0%B0%D0%BC%D0%BF%D0%B0%D1%81%D1%8B"">Read more on Last.fm</a>",37113,939841,"['Элизиум', 'Бригадный Подряд', 'Ze Fish', 'Мамульки Bend', 'Йорш']"
Itchy Kitty," <a href=""https://www.last.fm/music/Itchy+Kitty"">Read more on Last.fm</a>",22744,129458,"['Rotten Blossom', 'The Phlegms', 'Besta Quadrada', 'MVLL CRIMES', 'Kuromy']"
Falling In Reverse,"Falling in Reverse is an American rock band based in Las Vegas, Nevada and formed in 2008, signed to Epitaph Records. The band is led currently by vocalist Ronnie Radke alongside guitarists Christian Thompson and Marc Okubo, bassist Daniel ""DL"" Laskiewicz and drummer Luke Holland.

In 2008, lead singer Ronnie Radke was involved in an altercation in Las Vegas that resulted in the fatal shooting of 18-year-old Michael Cook. While Radke did not shoot Cook, he was indicted on battery charges. <a href=""https://www.last.fm/music/Falling+in+Reverse"">Read more on Last.fm</a>",1302663,65060770,"['Escape The Fate', 'Black Veil Brides', 'Motionless in White', 'Ice Nine Kills', 'I Prevail']"
李润祺,"Li Runqi (October 31, 2001 -), born in Zhengzhou City, Henan Province, is a singer-songwriter in mainland China, studying at Berklee College of Music.

In 2020, he participated in ""Tomorrow's Sons Orchestra Season""[1] and debuted with the Luck Alliance Orchestra. He is currently the lead singer and keyboard player of the Chinese Mainland Orchestra Qi Luck Alliance Orchestra[2]. <a href=""https://www.last.fm/music/%E6%9D%8E%E6%B6%A6%E7%A5%BA"">Read more on Last.fm</a>",8583,115768,"['Bomb比尔', '胡期皓', '林達浪', 'Joysaaaa', 'h3r3']"
All Time Low,"All Time Low is an American pop punk band formed in Baltimore, Maryland, United States in 2003. When Alex Gaskarth (lead vocals, rhythm guitar, keyboards) was in middle school, he was moved from private school to public school, where he met Jack Barakat (lead guitar, backing vocals), and put the band together; later recruiting Rian Dawson (drums, percussion), and Zack Merrick (bass guitar, backing vocals). The band's name came from a line in the New Found Glory song Head On Collision. <a href=""https://www.last.fm/music/All+Time+Low"">Read more on Last.fm</a>",2492749,141081845,"['Mayday Parade', 'State Champs', 'Simple Creatures', 'The Maine', 'We the Kings']"
Buerak,"Buerak (Буерак) is a Russian post-punk, new-wave/Russian-wave band from Novosibirsk, Russia, (Новосиби́рск, Росси́я) consisting of bass player and vocalist Artyom Cherepanov (Артём Черепанов) and Alexandr Makeyev. Buerak was formed in 2014 and is currently still active with five studio albums and numerous singles. <a href=""https://www.last.fm/music/buerak"">Read more on Last.fm</a>",150205,3325821,"['Vollny', 'Nürnberg', 'Kino', 'Peremotka', 'Chernikovskaya Hata']"
The Oi! Scouts,"Got nowhere to go, got nothing to do, The punks are going out tonight, 20 years we never die, You laugh at us, as we walk down the street, Another cause, another fight, We'll fight it 'till the end of time,- We won't give in, we will survive, Our way of life, another battle we must fight, Fight for rights, unite or die, Clench your fist, show them what you're fighting for, A constant struggle that never dies, Just a punk who wants this right, He fell through the cracks of society <a href=""https://www.last.fm/music/The+Oi%21+Scouts"">Read more on Last.fm</a>",17391,176603,"['Who Killed Spikey Jacket?', 'The Discocks', 'Special Duties', 'Lower Class Brats', 'The Virus']"
Just Friends,"Just Friends is: 
(1) A current Funk/Punk from the Dublin, California
(2) A German band from the nineties
(3) A collaboration project between Nicolas Jaar and Sasha Spielberg


(1) justfriendsca.bandcamp.com/

(2)Just Friends are Daniel Höferlin, Denise Zich, Matthias Fuchs and Sabine Manke. They released many singles, two albums and one Best Of compilation.

The group played in the German TV soap Gute Zeiten Schlechte Zeiten (Good Times Bad Times). <a href=""https://www.last.fm/music/Just+Friends"">Read more on Last.fm</a>",114819,1752962,"['Prince Daddy & The Hyena', 'Graduating Life', 'Free Throw', 'Riley!', 'pictures of vernon']"
Hey Steve,"First known as 'Republican Hair' and then simply 'STEVE', Hey Steve is a band originating from Nashville Tennessee based around pop and rock fronted by Luke Dick.  <a href=""https://www.last.fm/music/Hey+Steve"">Read more on Last.fm</a>",53305,676383,"['Mom Rock', 'Nick Lutsko', 'The Real Zebos', 'Naked Cameo', 'The Happy Fits']"
Vandal Moon,"Vandal Moon is a cold wave, post-punk, goth band, formed in 2010, from Santa Cruz, California.

Tracks are available at http://www.vandalmoon.com
Follow the band at https://twitter.com/VandalMoon
 <a href=""https://www.last.fm/music/Vandal+Moon"">Read more on Last.fm</a>",47717,651052,"['Darkways', 'Haunt Me', 'Twin Tribes', 'Ultra Sunn', 'This Cold Night']"
Liedfett,"Liedfett is an acoustic punk band from Hamburg, Germany formed in 2007. The former trio is now a quartet and consists of Philipp ,,Ballern'' Pöhner (drums), Lucas ,,Bügeln'' Uecker (guitar/vocals), Daniel ,,Feiern'' Michel (vocals) and Victor ,,Mr.Love'' Flowers (bass). <a href=""https://www.last.fm/music/Liedfett"">Read more on Last.fm</a>",19924,603672,"['Montreal', 'RAUM27', 'Madsen', 'Feine Sahne Fischfilet', 'Sondaschule']"
Too Close To Touch,"Too Close to Touch were an American alternative rock/post-hardcore band from Lexington, Kentucky, United States, formed in 2013. Both their debut EP, Too Close to Touch, and their debut full-length, Nerve Endings, were released through Epitaph. A year later, the band released their second full-length album,  Haven't Been Myself.

On March 26, 2022, it was announced that lead singer Keaton Pierce had passed away. To preserve his legacy, on March 8, 2024, the band released their third and final album For Keeps. <a href=""https://www.last.fm/music/Too+Close+to+Touch"">Read more on Last.fm</a>",192705,6160282,"['Slaves', 'Picturesque', 'Awaken I Am', 'Rain City Drive', 'Caskets']"
GERXMVP," <a href=""https://www.last.fm/music/GERXMVP"">Read more on Last.fm</a>",29572,247695,"['DeLoit', 'phonk killazz', '74blade', 'ABDUKXRIM', 'kkillarastation']"
YOU LOVE HER,"YOU LOVE HER (formerly known as You Love Her Coz She's Dead) is an electronic music duo formed in Bath in 2007. The duo consists of Jay 'Rocky' Dead (producer) and Poppy Dead (vocalist). From 2007 to April 2012, the vocalist of the band was Elle Dead. Their music has been compared to bands such as Digitalism, Crystal Castles, The Prodigy, and occasionally Daft Punk. 

The band signed to French label Kitsuné in 2008, releasing ""Wizards"" on the Gildas <a href=""https://www.last.fm/music/You+Love+Her"">Read more on Last.fm</a>",123202,1693466,"['Kap Bambino', ""You Love Her Coz She's Dead"", 'Crystal Castles', 'Heartsrevolution', 'Snow Strippers']"
MR.Lee Ohkuthu," <a href=""https://www.last.fm/music/MR.Lee+Ohkuthu"">Read more on Last.fm</a>",1,1,[]
NEU!,"There is more than one artist with the name ""Neu"".

1) Neu! (the German word for ""new"", pronounced ""noy"") a band from Germany, were probably the archetypal example of what the UK music press at the time dubbed krautrock. The band had minimal commercial success when active, but are credited with being a huge influence on a diverse group of artists, including The Sex Pistols, Public Image Ltd., David Bowie, Gary Numan, Ultravox, Simple Minds, DEVO, Sonic Youth, Radiohead,  Stereolab, Wilco as well as the current electronic music scene. <a href=""https://www.last.fm/music/NEU%21"">Read more on Last.fm</a>",451438,6606596,"['Harmonia', 'Can', 'La Düsseldorf', 'Faust', 'Cluster']"
Fancy Dan," <a href=""https://www.last.fm/music/Fancy+Dan"">Read more on Last.fm</a>",1516,12113,"['Rocket Overdrive', 'Snake-Bite', 'Wild Rooster', 'Astrolites', 'The Hot Rod Gang']"
RAREHOOD," <a href=""https://www.last.fm/music/RAREHOOD"">Read more on Last.fm</a>",710,9132,"['СИМОЧКА', 'EXHVUST', 'CHEKKY BREKKY', 'настойка валерьяны', 'Velikan']"
Dystopian Society,"Trapped in a hole craving for the light blood running cold the crawling hand of night
TOO PUNK FOR GOTHS - TOO GOTH FOR PUNKS <a href=""https://www.last.fm/music/Dystopian+Society"">Read more on Last.fm</a>",24053,184364,"['Christ Vs. Warhol', 'Altar de Fey', 'Virgin in Veil', 'Tears for the Dying', 'Catholic Spit']"
Buster Shuffle,"Buster Shuffle are a East London based Rock n Roll Ska band, who are currently unsigned.

The band is made up of: Jet Baker - Piano/Vox, Dan Piper - Guitar/Vox, Tezza Mascalli - Skins, Popey Doyle - Double Bass.



Myspace
www.bustershuffle.co.uk/ <a href=""https://www.last.fm/music/Buster+Shuffle"">Read more on Last.fm</a>",9842,228263,"['The Bar Stool Preachers', 'The Offenders', 'The Hotknives', 'Tequila & The Sunrise Gang', 'Soul Radics']"
saturdays at your place,"Saturdays at Your Place is an alternative emo band from Kalamazoo, Michigan. Their sound consists of both heavy and twinkly guitar parts, group vocals and heart on sleeve lyrics. <a href=""https://www.last.fm/music/saturdays+at+your+place"">Read more on Last.fm</a>",111833,4032010,"['Ben Quad', 'Riley!', ""Arm's Length"", 'summerbruise', 'Hot Mulligan']"
Bad Religion,"Bad Religion is a punk rock band from Los Angeles, California, known for the social commentary in their lyrics. The band was formed in 1979 by high school students Greg Graffin (vocals), Jay Bentley (bass guitar), Jay Ziskrout (drums), and Brett Gurewitz (guitar). In 1981, they released their eponymous debut EP on their own newly-formed label, Epitaph, managed and owned by Gurewitz. 1982 saw the release of their first full-length album, How Could Hell be Any Worse?, which gained them a sizable following. <a href=""https://www.last.fm/music/Bad+Religion"">Read more on Last.fm</a>",1562060,100775345,"['Pennywise', 'NOFX', 'Lagwagon', 'Rancid', 'No Use for a Name']"
Bloody Dead And Sexy,"Bloody Dead and Sexy emerged from Germany in the late 90s as one of the finest contributors to modern deathrock after being formed in 1997. Their 2001 performance at Herbstnachte III - alongside Cinema Strange, Antiworld, Fliehende Stürme, Murder at the Registry and New Days Delay, immediately singled them out as one of the brightest new stars on the field. Since then they have attracted more and more admirers via exposure in German press and the internet, as well as continuos gigs. <a href=""https://www.last.fm/music/Bloody+Dead+and+Sexy"">Read more on Last.fm</a>",96417,1219798,"['Horror Vacui', 'Mephisto Walz', 'Specimen', 'The Naked and the Dead', 'Corpus Delicti']"
"JW ""Broken Veteran""","JW ""Broken Veteran"" is an alias from John van der Wijst. This artist has released various AI right-wing extremist music to streaming platforms. <a href=""https://www.last.fm/music/JW+%22Broken+Veteran%22"">Read more on Last.fm</a>",4817,27000,"['Intermissible', 'Effe Serieus', 'Sven Versteeg', 'Vaderlandsliefde', 'Samuel Welten']"
Luminati Suns," <a href=""https://www.last.fm/music/Luminati+Suns"">Read more on Last.fm</a>",3303,21006,"['MAAPS', 'Mae Hill', 'The New Violence', 'Byrne', 'Myles Erlick']"
Distemper,"Distemper is the name of more than one artist

1) Ska-punk from Moscow
2) Raw D-Beat Hardcore from Japan

1) A ska punk band from Moscow, Russian Federation.
They started playing in 1989 as a hardcore band, but over time their style slowly changed to ska punk, and in 1995 they released ""Gorod"" - one of the most prominent and truly ""ska punk"" albums of their career, according to most of their fans. They are still active and recording at a rate of about 1 album per year. <a href=""https://www.last.fm/music/Distemper"">Read more on Last.fm</a>",122323,4674517,"['Spitfire', 'Элизиум', 'Dёргать!', 'Truckdrivers', 'CWT']"
